trade_date,rewards
2010-12-10,"tf.Tensor(0.07896626, shape=(), dtype=float32)"
2010-12-13,"tf.Tensor(0.08045137, shape=(), dtype=float32)"
2010-12-14,"tf.Tensor(0.080791354, shape=(), dtype=float32)"
2010-12-15,"tf.Tensor(0.08017743, shape=(), dtype=float32)"
2010-12-16,"tf.Tensor(0.079867005, shape=(), dtype=float32)"
2010-12-17,"tf.Tensor(0.07989323, shape=(), dtype=float32)"
2010-12-20,"tf.Tensor(0.07924366, shape=(), dtype=float32)"
2010-12-21,"tf.Tensor(0.08037567, shape=(), dtype=float32)"
2010-12-22,"tf.Tensor(0.07999611, shape=(), dtype=float32)"
2010-12-23,"tf.Tensor(0.079274416, shape=(), dtype=float32)"
2010-12-24,"tf.Tensor(0.078727126, shape=(), dtype=float32)"
2010-12-27,"tf.Tensor(0.07761276, shape=(), dtype=float32)"
2010-12-28,"tf.Tensor(0.07650018, shape=(), dtype=float32)"
2010-12-29,"tf.Tensor(0.07721746, shape=(), dtype=float32)"
2010-12-30,"tf.Tensor(0.07732797, shape=(), dtype=float32)"
2010-12-31,"tf.Tensor(0.0783087, shape=(), dtype=float32)"
2011-01-03,"tf.Tensor(0.078740954, shape=(), dtype=float32)"
2011-01-04,"tf.Tensor(0.07969129, shape=(), dtype=float32)"
2011-01-05,"tf.Tensor(0.07975745, shape=(), dtype=float32)"
2011-01-06,"tf.Tensor(0.07947779, shape=(), dtype=float32)"
2011-01-07,"tf.Tensor(0.07942104, shape=(), dtype=float32)"
2011-01-10,"tf.Tensor(0.07825613, shape=(), dtype=float32)"
2011-01-11,"tf.Tensor(0.078513384, shape=(), dtype=float32)"
2011-01-12,"tf.Tensor(0.07917392, shape=(), dtype=float32)"
2011-01-13,"tf.Tensor(0.079209805, shape=(), dtype=float32)"
2011-01-14,"tf.Tensor(0.07853079, shape=(), dtype=float32)"
2011-01-17,"tf.Tensor(0.07661736, shape=(), dtype=float32)"
2011-01-18,"tf.Tensor(0.0766772, shape=(), dtype=float32)"
2011-01-19,"tf.Tensor(0.07770848, shape=(), dtype=float32)"
2011-01-20,"tf.Tensor(0.075814724, shape=(), dtype=float32)"
2011-01-21,"tf.Tensor(0.076278925, shape=(), dtype=float32)"
2011-01-24,"tf.Tensor(0.07564962, shape=(), dtype=float32)"
2011-01-25,"tf.Tensor(0.0752182, shape=(), dtype=float32)"
2011-01-26,"tf.Tensor(0.07601726, shape=(), dtype=float32)"
2011-01-27,"tf.Tensor(0.07677138, shape=(), dtype=float32)"
2011-01-28,"tf.Tensor(0.07659733, shape=(), dtype=float32)"
2011-01-30,"tf.Tensor(0.0765872, shape=(), dtype=float32)"
2011-01-31,"tf.Tensor(0.077230215, shape=(), dtype=float32)"
2011-02-01,"tf.Tensor(0.07763028, shape=(), dtype=float32)"
2011-02-02,"tf.Tensor(0.07786453, shape=(), dtype=float32)"
2011-02-03,"tf.Tensor(0.077888966, shape=(), dtype=float32)"
2011-02-04,"tf.Tensor(0.077925086, shape=(), dtype=float32)"
2011-02-07,"tf.Tensor(0.07777655, shape=(), dtype=float32)"
2011-02-08,"tf.Tensor(0.077783346, shape=(), dtype=float32)"
2011-02-09,"tf.Tensor(0.07706213, shape=(), dtype=float32)"
2011-02-10,"tf.Tensor(0.07775688, shape=(), dtype=float32)"
2011-02-11,"tf.Tensor(0.07822299, shape=(), dtype=float32)"
2011-02-12,"tf.Tensor(0.078204036, shape=(), dtype=float32)"
2011-02-14,"tf.Tensor(0.07965922, shape=(), dtype=float32)"
2011-02-15,"tf.Tensor(0.07943261, shape=(), dtype=float32)"
2011-02-16,"tf.Tensor(0.080263376, shape=(), dtype=float32)"
2011-02-17,"tf.Tensor(0.08052099, shape=(), dtype=float32)"
2011-02-18,"tf.Tensor(0.08027935, shape=(), dtype=float32)"
2011-02-21,"tf.Tensor(0.08090973, shape=(), dtype=float32)"
2011-02-22,"tf.Tensor(0.07891309, shape=(), dtype=float32)"
2011-02-23,"tf.Tensor(0.079089165, shape=(), dtype=float32)"
2011-02-24,"tf.Tensor(0.079217434, shape=(), dtype=float32)"
2011-02-25,"tf.Tensor(0.079702616, shape=(), dtype=float32)"
2011-02-28,"tf.Tensor(0.08057642, shape=(), dtype=float32)"
2011-03-01,"tf.Tensor(0.08059704, shape=(), dtype=float32)"
2011-03-02,"tf.Tensor(0.08024895, shape=(), dtype=float32)"
2011-03-03,"tf.Tensor(0.080082774, shape=(), dtype=float32)"
2011-03-04,"tf.Tensor(0.080792665, shape=(), dtype=float32)"
2011-03-07,"tf.Tensor(0.081418514, shape=(), dtype=float32)"
2011-03-08,"tf.Tensor(0.081962585, shape=(), dtype=float32)"
2011-03-09,"tf.Tensor(0.08207834, shape=(), dtype=float32)"
2011-03-10,"tf.Tensor(0.08097005, shape=(), dtype=float32)"
2011-03-11,"tf.Tensor(0.08051467, shape=(), dtype=float32)"
2011-03-14,"tf.Tensor(0.080741644, shape=(), dtype=float32)"
2011-03-15,"tf.Tensor(0.07940006, shape=(), dtype=float32)"
2011-03-16,"tf.Tensor(0.07971668, shape=(), dtype=float32)"
2011-03-17,"tf.Tensor(0.078900576, shape=(), dtype=float32)"
2011-03-18,"tf.Tensor(0.07916236, shape=(), dtype=float32)"
2011-03-21,"tf.Tensor(0.07952058, shape=(), dtype=float32)"
2011-03-22,"tf.Tensor(0.07970059, shape=(), dtype=float32)"
2011-03-23,"tf.Tensor(0.08031058, shape=(), dtype=float32)"
2011-03-24,"tf.Tensor(0.08049083, shape=(), dtype=float32)"
2011-03-25,"tf.Tensor(0.08122659, shape=(), dtype=float32)"
2011-03-28,"tf.Tensor(0.081080794, shape=(), dtype=float32)"
2011-03-29,"tf.Tensor(0.080596566, shape=(), dtype=float32)"
2011-03-30,"tf.Tensor(0.0807991, shape=(), dtype=float32)"
2011-03-31,"tf.Tensor(0.08028376, shape=(), dtype=float32)"
2011-04-01,"tf.Tensor(0.08121884, shape=(), dtype=float32)"
2011-04-02,"tf.Tensor(0.081211686, shape=(), dtype=float32)"
2011-04-04,"tf.Tensor(0.08144677, shape=(), dtype=float32)"
2011-04-05,"tf.Tensor(0.08146846, shape=(), dtype=float32)"
2011-04-06,"tf.Tensor(0.08187556, shape=(), dtype=float32)"
2011-04-07,"tf.Tensor(0.082006454, shape=(), dtype=float32)"
2011-04-08,"tf.Tensor(0.08252847, shape=(), dtype=float32)"
2011-04-11,"tf.Tensor(0.08214712, shape=(), dtype=float32)"
2011-04-12,"tf.Tensor(0.08178902, shape=(), dtype=float32)"
